product_id,product_name,customer_id,customer_name,category,Year,Month,order_date,gender,city,state,loyalty_points,Total_revenue,Total_quantity,Total_orders,Avg_revenue,Avg_quantity,Avg_loyalty_points,Min_price,Max_price
P210,Air Conditioner,C0917,Arjun Rao,ELECTRONICS,2025,3,2025-03-19,M,Chennai,Delhi,1767,null,2,1,null,2,1767,null,null
P205,Levi Jeans,C0134,Amit Iyer,FASHION,2025,1,2025-01-20,M,Chennai,Maharashtra,null,43974,1,1,43974,1,null,43974.00,43974.00
P204,Nike Shoes,C0468,Meena Iyer,ELECTRONICS,2025,1,2025-01-19,M,Chennai,Delhi,774,null,1,1,null,1,774,null,null
P203,Sony Headphones,C0816,Rohan Sharma,FASHION,2025,2,2025-02-19,M,Chennai,West Bengal,null,88800.3,2,1,88800.3,2,null,46737.00,46737.00
P201,iPhone 15,C0051,Arjun Das,HOME & LIVING,2025,1,2025-01-23,M,Mumbai,Tamil Nadu,null,208966.5,3,1,208966.5,3,null,77395.00,77395.00
P204,Nike Shoes,C0460,Amit Rao,ELECTRONICS,2025,3,2025-03-26,F,Mumbai,Delhi,636,null,1,1,null,1,636,null,null
null,HP Laptop,C0645,Arjun Iyer,HOME & LIVING,2025,3,2025-03-19,M,Mumbai,Karnataka,null,null,3,1,null,3,null,null,null
P201,iPhone 15,C0762,Sneha Malhotra,ELECTRONICS,2025,2,2025-02-09,M,Hyderabad,Delhi,null,157662,3,1,157662,3,null,55320.00,55320.00
P210,Air Conditioner,C0904,Sneha Sharma,FASHION,2025,2,2025-02-11,F,Bangalore,Telangana,null,null,3,1,null,3,null,null,null
P205,Levi Jeans,C0382,null,ELECTRONICS,2025,2,2025-02-26,null,null,null,null,10633.35,3,1,10633.35,3,null,3731.00,3731.00
P207,Microwave Oven,C0194,Rahul Rao,ELECTRONICS,2025,3,2025-03-10,F,Hyderabad,Maharashtra,null,129277.8,2,1,129277.8,2,null,71821.00,71821.00
P208,Refrigerator,C0785,null,HOME & LIVING,2025,1,2025-01-11,null,null,null,null,13134.699999999999,2,1,13134.699999999999,2,null,6913.00,6913.00
P203,Sony Headphones,C0402,Anjali Singh,HOME & LIVING,2025,3,2025-03-15,F,Lucknow,Telangana,null,47194,2,1,47194,2,null,23597.00,23597.00
P203,Sony Headphones,C0996,Neha Das,FASHION,2025,1,2025-01-12,F,Delhi,West Bengal,null,134574.15,3,1,134574.15,3,null,47219.00,47219.00
P208,Refrigerator,C0116,Meena Verma,HOME & LIVING,2025,3,2025-03-03,F,Pune,Uttar Pradesh,null,null,2,1,null,2,null,null,null
P207,Microwave Oven,C0065,Arjun Das,FASHION,2025,3,2025-03-19,M,Pune,Tamil Nadu,null,null,2,1,null,2,null,null,null
null,Microwave Oven,C0209,Rohan Singh,HOME & LIVING,2025,2,2025-02-05,M,Mumbai,West Bengal,null,34780.5,1,1,34780.5,1,null,38645.00,38645.00
P202,Samsung TV,C0529,Sneha Malhotra,HOME & LIVING,2025,2,2025-02-08,M,Chennai,Tamil Nadu,null,34827.3,1,1,34827.3,1,null,38697.00,38697.00
P210,Air Conditioner,C0303,null,FASHION,2025,1,2025-01-19,null,null,null,null,36898.200000000004,3,1,36898.200000000004,3,null,13666.00,13666.00
P208,Refrigerator,C0926,Amit Sharma,HOME & LIVING,2025,1,2025-01-28,F,Mumbai,Karnataka,null,15732,3,1,15732,3,null,5520.00,5520.00
P207,Microwave Oven,C0495,null,HOME & LIVING,2025,3,2025-03-14,null,null,null,null,5056.2,1,1,5056.2,1,null,5618.00,5618.00
P206,HP Laptop,C0255,Sneha Singh,ELECTRONICS,2025,3,2025-03-17,F,Jaipur,Telangana,null,null,3,1,null,3,null,null,null
P202,Samsung TV,C0981,Arjun Rao,ELECTRONICS,2025,1,2025-01-31,F,Delhi,Uttar Pradesh,596,null,1,1,null,1,596,null,null
P206,HP Laptop,C0769,Rohan Singh,HOME & LIVING,2025,2,2025-02-17,F,Lucknow,Telangana,947,81818.1,3,1,81818.1,3,947,30303.00,30303.00
P210,Air Conditioner,C0350,null,HOME & LIVING,2025,1,2025-01-28,null,null,null,null,131985,2,1,131985,2,null,73325.00,73325.00
P206,HP Laptop,C0433,Neha Iyer,ELECTRONICS,2025,3,2025-03-25,M,Mumbai,Karnataka,null,3279.6,2,1,3279.6,2,null,1822.00,1822.00
P207,Microwave Oven,C0253,Amit Verma,FASHION,2025,3,2025-03-04,F,Jaipur,Rajasthan,null,17637.7,1,1,17637.7,1,null,18566.00,18566.00
P203,Sony Headphones,C0882,Amit Iyer,ELECTRONICS,2025,1,2025-01-20,M,Pune,Delhi,null,null,1,1,null,1,null,null,null
P210,Air Conditioner,C0939,Amit Gupta,FASHION,2025,2,2025-02-13,M,Hyderabad,Maharashtra,null,null,3,1,null,3,null,null,null
P203,Sony Headphones,C0257,Meena Verma,HOME & LIVING,2025,1,2025-01-27,F,Delhi,Uttar Pradesh,null,null,1,1,null,1,null,null,null
P201,iPhone 15,C0964,Amit Mehta,FASHION,2025,1,2025-01-18,M,Mumbai,Delhi,1832,null,3,1,null,3,1832,null,null
P202,Samsung TV,C0718,Anjali Sharma,HOME & LIVING,2025,1,2025-01-13,M,Lucknow,Delhi,null,105067.8,2,1,105067.8,2,null,58371.00,58371.00
P204,Nike Shoes,C0279,Anjali Singh,HOME & LIVING,2025,3,2025-03-27,F,Delhi,Telangana,null,112868.54999999999,3,1,112868.54999999999,3,null,39603.00,39603.00
P205,Levi Jeans,C0800,Rahul Rao,HOME & LIVING,2025,1,2025-01-06,M,Lucknow,West Bengal,null,33122,2,1,33122,2,null,16561.00,16561.00
P204,Nike Shoes,C0970,Anjali Rao,FASHION,2025,3,2025-03-12,M,Pune,Telangana,null,null,1,1,null,1,null,null,null
P205,Levi Jeans,C0212,Meena Gupta,HOME & LIVING,2025,1,2025-01-03,F,Mumbai,Maharashtra,null,56722.6,1,1,56722.6,1,null,59708.00,59708.00
P207,Microwave Oven,C0536,Amit Gupta,FASHION,2025,2,2025-02-08,F,Kolkata,Telangana,null,73136.7,3,1,73136.7,3,null,25662.00,25662.00
P201,iPhone 15,C0244,null,HOME & LIVING,2025,2,2025-02-26,null,null,null,null,105907.9,2,1,105907.9,2,null,55741.00,55741.00
P201,iPhone 15,C0744,Pooja Kapoor,ELECTRONICS,2025,3,2025-03-02,F,Pune,Uttar Pradesh,null,null,1,1,null,1,null,null,null
P209,Office Chair,C0392,Amit Sharma,ELECTRONICS,2025,3,2025-03-17,M,Mumbai,West Bengal,1780,68450.34999999999,1,1,68450.34999999999,1,1780,72053.00,72053.00
P208,Refrigerator,C0606,null,HOME & LIVING,2025,2,2025-02-04,null,null,null,null,null,2,1,null,2,null,null,null
P208,Refrigerator,C0379,Meena Singh,ELECTRONICS,2025,1,2025-01-24,F,Jaipur,West Bengal,null,null,2,1,null,2,null,null,null
P205,Levi Jeans,C0630,Amit Malhotra,HOME & LIVING,2025,2,2025-02-11,F,Kolkata,Telangana,null,null,3,1,null,3,null,null,null
P207,Microwave Oven,C0496,Anjali Das,FASHION,2025,1,2025-01-10,M,Bangalore,Uttar Pradesh,null,null,2,1,null,2,null,null,null
P205,Levi Jeans,C0658,Neha Mehta,ELECTRONICS,2025,1,2025-01-28,M,Delhi,Maharashtra,null,null,2,1,null,2,null,null,null
P208,Refrigerator,C0347,null,HOME & LIVING,2025,1,2025-01-20,null,null,null,null,76796.09999999999,3,1,76796.09999999999,3,null,26946.00,26946.00
P209,Office Chair,C0476,Anjali Gupta,ELECTRONICS,2025,2,2025-02-09,M,Chennai,Delhi,null,null,1,1,null,1,null,null,null
P204,Nike Shoes,C0499,Meena Das,HOME & LIVING,2025,3,2025-03-21,M,Kolkata,Maharashtra,1548,2768,2,1,2768,2,1548,1384.00,1384.00
P203,Sony Headphones,C0162,Neha Gupta,ELECTRONICS,2025,3,2025-03-12,F,Hyderabad,Maharashtra,null,null,3,1,null,3,null,null,null
P201,iPhone 15,C0560,Rahul Verma,ELECTRONICS,2025,2,2025-02-17,F,Pune,Delhi,null,114604.2,3,1,114604.2,3,null,40212.00,40212.00
P206,HP Laptop,C0749,Sneha Iyer,ELECTRONICS,2025,1,2025-01-30,M,Chennai,West Bengal,780,108666.7,2,1,108666.7,2,780,57193.00,57193.00
P210,Air Conditioner,C0152,null,ELECTRONICS,2025,1,2025-01-04,null,null,null,null,135469.80000000002,2,1,135469.80000000002,2,null,75261.00,75261.00
P204,Nike Shoes,C0955,Meena Malhotra,HOME & LIVING,2025,1,2025-01-16,M,Lucknow,Uttar Pradesh,null,null,3,1,null,3,null,null,null
P204,Nike Shoes,C0403,Pooja Mehta,ELECTRONICS,2025,1,2025-01-06,M,Delhi,West Bengal,null,null,3,1,null,3,null,null,null
P203,Sony Headphones,C0624,Meena Iyer,HOME & LIVING,2025,3,2025-03-13,F,Pune,Rajasthan,null,94595.40000000001,2,1,94595.40000000001,2,null,52553.00,52553.00
P201,iPhone 15,C0065,Arjun Das,HOME & LIVING,2025,1,2025-01-11,M,Pune,Tamil Nadu,null,51749,1,1,51749,1,null,51749.00,51749.00
P208,Refrigerator,C0166,Arjun Verma,ELECTRONICS,2025,2,2025-02-28,F,Mumbai,West Bengal,null,null,3,1,null,3,null,null,null
P205,Levi Jeans,C0618,Meena Rao,FASHION,2025,1,2025-01-03,M,Delhi,Karnataka,1588,58317.3,1,1,58317.3,1,1588,64797.00,64797.00
P201,iPhone 15,C0543,Amit Das,ELECTRONICS,2025,2,2025-02-08,M,Pune,Maharashtra,null,130014,3,1,130014,3,null,43338.00,43338.00
P204,Nike Shoes,C0420,Rohan Rao,FASHION,2025,1,2025-01-18,F,Hyderabad,West Bengal,508,null,1,1,null,1,508,null,null
P206,HP Laptop,C0260,null,ELECTRONICS,2025,3,2025-03-31,null,null,null,null,null,1,1,null,1,null,null,null
P203,Sony Headphones,C0464,Rohan Malhotra,FASHION,2025,2,2025-02-27,F,Delhi,Tamil Nadu,null,null,1,1,null,1,null,null,null
P203,Sony Headphones,C0783,null,FASHION,2025,1,2025-01-13,null,null,null,null,39153.299999999996,3,1,39153.299999999996,3,null,13738.00,13738.00
null,Refrigerator,null,null,FASHION,2025,3,2025-03-05,null,null,null,null,null,3,1,null,3,null,null,null
P209,Office Chair,C0275,Pooja Verma,HOME & LIVING,2025,1,2025-01-19,F,Delhi,Delhi,1469,118109.7,3,1,118109.7,3,1469,41442.00,41442.00
P206,HP Laptop,C0387,Arjun Das,HOME & LIVING,2025,2,2025-02-27,F,Mumbai,Tamil Nadu,1276,56350,1,1,56350,1,1276,56350.00,56350.00
P205,Levi Jeans,C0371,Amit Iyer,ELECTRONICS,2025,3,2025-03-13,M,Bangalore,Delhi,null,131196.9,3,1,131196.9,3,null,46034.00,46034.00
P203,Sony Headphones,C0453,Sneha Verma,ELECTRONICS,2025,1,2025-01-08,F,Mumbai,Tamil Nadu,895,null,1,1,null,1,895,null,null
null,Refrigerator,C0465,Amit Sharma,HOME & LIVING,2025,2,2025-02-21,F,Kolkata,West Bengal,993,null,1,1,null,1,993,null,null
P210,Air Conditioner,C0620,Rohan Kapoor,ELECTRONICS,2025,2,2025-02-19,M,Mumbai,Telangana,null,136641,3,1,136641,3,null,45547.00,45547.00
P202,Samsung TV,C0012,Neha Kapoor,HOME & LIVING,2025,1,2025-01-30,M,Delhi,Rajasthan,1305,null,2,1,null,2,1305,null,null
P208,Refrigerator,C0734,Karan Malhotra,HOME & LIVING,2025,2,2025-02-02,F,Delhi,Rajasthan,1948,5464.4,2,1,5464.4,2,1948,2876.00,2876.00
P209,Office Chair,C0574,Pooja Das,ELECTRONICS,2025,3,2025-03-13,F,Bangalore,Rajasthan,null,130786.2,2,1,130786.2,2,null,72659.00,72659.00
P204,Nike Shoes,C0168,Karan Rao,ELECTRONICS,2025,1,2025-01-05,M,Lucknow,Uttar Pradesh,1389,48057.649999999994,1,1,48057.649999999994,1,1389,50587.00,50587.00
P203,Sony Headphones,C0434,Anjali Verma,ELECTRONICS,2025,3,2025-03-09,F,Lucknow,Telangana,793,14965.2,1,1,14965.2,1,793,16628.00,16628.00
P202,Samsung TV,C0178,null,HOME & LIVING,2025,1,2025-01-05,null,null,null,null,109298.7,3,1,109298.7,3,null,40481.00,40481.00
P203,Sony Headphones,C0605,null,HOME & LIVING,2025,3,2025-03-17,null,null,null,null,null,2,1,null,2,null,null,null
P208,Refrigerator,C0637,Anjali Iyer,ELECTRONICS,2025,1,2025-01-04,F,Mumbai,West Bengal,null,null,3,1,null,3,null,null,null
P203,Sony Headphones,C0978,null,FASHION,2025,1,2025-01-27,null,null,null,null,null,1,1,null,1,null,null,null
P210,Air Conditioner,C0171,Rohan Verma,ELECTRONICS,2025,1,2025-01-13,F,Kolkata,Karnataka,null,null,1,1,null,1,null,null,null
P209,Office Chair,C0851,Meena Sharma,FASHION,2025,1,2025-01-07,F,Pune,Karnataka,1674,119022,2,1,119022,2,1674,59511.00,59511.00
P204,Nike Shoes,C0311,Neha Singh,FASHION,2025,1,2025-01-06,F,Delhi,Maharashtra,null,205783.2,3,1,205783.2,3,null,76216.00,76216.00
P206,HP Laptop,C0879,Meena Sharma,ELECTRONICS,2025,2,2025-02-19,M,Mumbai,Maharashtra,null,null,2,1,null,2,null,null,null
P205,Levi Jeans,C0647,Pooja Mehta,ELECTRONICS,2025,2,2025-02-28,M,Pune,Rajasthan,null,113826.6,2,1,113826.6,2,null,63237.00,63237.00
P205,Levi Jeans,C0505,Neha Malhotra,HOME & LIVING,2025,3,2025-03-26,F,Delhi,Delhi,null,87602.40000000001,2,1,87602.40000000001,2,null,48668.00,48668.00
P204,Nike Shoes,C0836,Sneha Rao,HOME & LIVING,2025,3,2025-03-11,M,Delhi,Tamil Nadu,null,116262.9,3,1,116262.9,3,null,40794.00,40794.00
P210,Air Conditioner,C0350,null,ELECTRONICS,2025,3,2025-03-09,null,null,null,null,164469,3,1,164469,3,null,54823.00,54823.00
P204,Nike Shoes,C0395,Rahul Sharma,HOME & LIVING,2025,3,2025-03-23,M,Hyderabad,West Bengal,null,null,2,1,null,2,null,null,null
P210,Air Conditioner,C0292,null,ELECTRONICS,2025,2,2025-02-12,null,null,null,null,145783.19999999998,2,1,145783.19999999998,2,null,76728.00,76728.00
P203,Sony Headphones,C0374,Sneha Verma,ELECTRONICS,2025,2,2025-02-17,F,Lucknow,Maharashtra,null,76850,1,1,76850,1,null,76850.00,76850.00
P202,Samsung TV,C0911,Rahul Kapoor,ELECTRONICS,2025,1,2025-01-30,M,Chennai,Maharashtra,1250,72798.5,1,1,72798.5,1,1250,76630.00,76630.00
P207,Microwave Oven,C0660,Pooja Sharma,ELECTRONICS,2025,1,2025-01-24,F,Kolkata,Telangana,null,null,1,1,null,1,null,null,null
P203,Sony Headphones,C0639,Sneha Das,ELECTRONICS,2025,1,2025-01-01,F,Kolkata,West Bengal,null,null,2,1,null,2,null,null,null
P204,Nike Shoes,C0503,Amit Rao,ELECTRONICS,2025,3,2025-03-05,F,Mumbai,Telangana,206,null,1,1,null,1,206,null,null
null,Air Conditioner,C0482,null,ELECTRONICS,2025,1,2025-01-08,null,null,null,null,87455.09999999999,3,1,87455.09999999999,3,null,30686.00,30686.00
P205,Levi Jeans,C0077,Arjun Kapoor,ELECTRONICS,2025,2,2025-02-07,F,Mumbai,Maharashtra,null,160255.80000000002,3,1,160255.80000000002,3,null,59354.00,59354.00
null,Sony Headphones,C0560,Rahul Verma,HOME & LIVING,2025,3,2025-03-08,F,Pune,Delhi,null,null,1,1,null,1,null,null,null
